,bike_id,weekday,start_hour,start_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_time,end_station_id,end_station_name,end_station_latitude,end_station_longitude,trip_duration,subscriber,birth_year,gender,gender_category,trip_duration_min,start_year,start_month,start_week,start_day,end_year,end_month,end_week,end_day,end_hour,days_category,peak_hours,avg_trip_duration_each_hour,day_of_week,hours_category
11,15522,Sun,2,2013-09-22 02:02:47,393,E 5 St & Avenue C,40.72299208,-73.97995466,2013-09-22 02:19:34,2022,E 59 St & Sutton Pl,40.75849116,-73.95920622,1007,Subscriber,1979.0,1,Male,16,2013,9,38,22,2013,9,38,22,2,Weekend,Normal hours,12.2,1,0am - 5am
69,15258,Thu,0,2013-09-12 00:23:28,254,W 11 St & 6 Ave,40.73532427,-73.99800419,2013-09-12 00:29:27,433,E 13 St & Avenue A,40.72955361,-73.98057249,359,Subscriber,1987.0,1,Male,5,2013,9,37,12,2013,9,37,12,0,Weekdays,Normal hours,13.1,5,0am - 5am
149,15543,Wed,1,2013-09-04 01:07:12,432,E 7 St & Avenue A,40.72621788,-73.98379855,2013-09-04 01:18:19,527,E 33 St & 1 Ave,40.74315566,-73.97434726,667,Subscriber,1973.0,1,Male,11,2013,9,36,4,2013,9,36,4,1,Weekdays,Normal hours,13.1,4,0am - 5am
187,18681,Thu,0,2013-09-05 00:07:46,489,10 Ave & W 28 St,40.75066386,-74.00176802,2013-09-05 00:15:24,446,W 24 St & 7 Ave,40.74487634,-73.99529885,458,Subscriber,1951.0,1,Male,7,2013,9,36,5,2013,9,36,5,0,Weekdays,Normal hours,13.1,5,0am - 5am
217,18890,Thu,1,2013-09-12 01:21:26,478,11 Ave & W 41 St,40.76030096,-73.99884222,2013-09-12 01:38:05,434,9 Ave & W 18 St,40.74317449,-74.00366443,999,Non-Subscriber,,0,Unknown,16,2013,9,37,12,2013,9,37,12,1,Weekdays,Normal hours,13.1,5,0am - 5am
231,20156,Sat,3,2013-09-14 03:25:36,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,2013-09-14 10:26:07,143,Clinton St & Joralemon St,40.69239502,-73.99337909,2697,Subscriber,1990.0,1,Male,44,2013,9,37,14,2013,9,37,14,10,Weekend,Normal hours,11.6,7,0am - 5am
232,19755,Sun,0,2013-09-08 00:45:34,285,Broadway & E 14 St,40.73454567,-73.99074142,2013-09-08 00:49:12,168,W 18 St & 6 Ave,40.73971301,-73.99456405,218,Subscriber,1976.0,1,Male,3,2013,9,36,8,2013,9,36,8,0,Weekend,Normal hours,13.1,1,0am - 5am
366,16463,Fri,0,2013-09-06 00:11:50,479,9 Ave & W 45 St,40.76019252,-73.9912551,2013-09-06 00:14:47,494,W 26 St & 8 Ave,40.74734825,-73.99723551,177,Subscriber,1962.0,1,Male,2,2013,9,36,6,2013,9,36,6,0,Weekdays,Normal hours,13.1,6,0am - 5am
372,17143,Wed,0,2013-09-11 00:21:04,512,W 29 St & 9 Ave,40.7500727,-73.99839279,2013-09-11 00:41:10,511,E 14 St & Avenue B,40.72938685,-73.97772429,1206,Non-Subscriber,,0,Unknown,20,2013,9,37,11,2013,9,37,11,0,Weekdays,Normal hours,13.1,4,0am - 5am
424,15847,Sat,2,2013-09-21 02:37:06,293,Lafayette St & E 8 St,40.73028666,-73.9907647,2013-09-21 02:40:32,475,E 16 St & Irving Pl,40.73524276,-73.98758561,206,Subscriber,1988.0,1,Male,3,2013,9,38,21,2013,9,38,21,2,Weekend,Normal hours,12.2,7,0am - 5am
465,17261,Sat,2,2013-09-21 02:57:28,251,Mott St & Prince St,40.72317958,-73.99480012,2013-09-21 03:06:06,497,E 17 St & Broadway,40.73704984,-73.99009296,518,Subscriber,1989.0,1,Male,8,2013,9,38,21,2013,9,38,21,3,Weekend,Normal hours,12.2,7,0am - 5am
537,17488,Thu,4,2013-09-12 04:53:15,490,8 Ave & W 33 St,40.751551,-73.993934,2013-09-12 04:59:25,500,Broadway & W 51 St,40.76228826,-73.98336183,370,Subscriber,1970.0,1,Male,6,2013,9,37,12,2013,9,37,12,4,Weekdays,Normal hours,11.6,5,0am - 5am
541,17038,Sat,1,2013-09-14 01:24:58,529,W 42 St & 8 Ave,40.7575699,-73.99098507,2013-09-14 01:33:37,468,Broadway & W 55 St,40.7652654,-73.98192338,519,Subscriber,1989.0,2,Female,8,2013,9,37,14,2013,9,37,14,1,Weekend,Normal hours,13.1,7,0am - 5am
549,18393,Thu,0,2013-09-26 00:08:11,328,Watts St & Greenwich St,40.72405549,-74.00965965,2013-09-26 00:19:16,2008,Little West St & 1 Pl,40.70569254,-74.01677685,665,Subscriber,1982.0,1,Male,11,2013,9,39,26,2013,9,39,26,0,Weekdays,Normal hours,13.1,5,0am - 5am
591,17030,Sat,3,2013-09-28 03:39:42,533,Broadway & W 39 St,40.75299641,-73.98721619,2013-09-28 03:46:46,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,424,Subscriber,1985.0,1,Male,7,2013,9,39,28,2013,9,39,28,3,Weekend,Normal hours,11.6,7,0am - 5am
632,18149,Fri,0,2013-09-06 00:01:53,280,E 10 St & 5 Ave,40.73331967,-73.99510132,2013-09-06 00:14:33,345,W 13 St & 6 Ave,40.73649403,-73.99704374,760,Subscriber,1960.0,1,Male,12,2013,9,36,6,2013,9,36,6,0,Weekdays,Normal hours,13.1,6,0am - 5am
688,14932,Thu,5,2013-09-12 05:54:33,465,Broadway & W 41 St,40.75513557,-73.98658032,2013-09-12 06:00:12,510,W 51 St & 6 Ave,40.7606597,-73.98042047,339,Subscriber,1975.0,1,Male,5,2013,9,37,12,2013,9,37,12,6,Weekdays,Normal hours,10.2,5,0am - 5am
711,16222,Sat,0,2013-09-07 00:00:43,495,W 47 St & 10 Ave,40.76269882,-73.99301222,2013-09-07 00:08:12,488,W 39 St & 9 Ave,40.75645824,-73.99372222,449,Subscriber,1979.0,2,Female,7,2013,9,36,7,2013,9,36,7,0,Weekend,Normal hours,13.1,7,0am - 5am
717,19609,Mon,0,2013-09-16 00:04:25,355,Bayard St & Baxter St,40.71602118,-73.99974372,2013-09-16 00:28:51,521,8 Ave & W 31 St,40.75044999,-73.99481051,1466,Subscriber,1994.0,1,Male,24,2013,9,38,16,2013,9,38,16,0,Weekdays,Normal hours,13.1,2,0am - 5am
743,15836,Thu,1,2013-09-12 01:18:36,315,South St & Gouverneur Ln,40.70355377,-74.00670227,2013-09-12 01:42:52,426,West St & Chambers St,40.71754834,-74.01322069,1456,Non-Subscriber,,0,Unknown,24,2013,9,37,12,2013,9,37,12,1,Weekdays,Normal hours,13.1,5,0am - 5am
749,15421,Thu,0,2013-09-12 00:09:22,483,E 12 St & 3 Ave,40.73223272,-73.98889957,2013-09-12 00:25:03,340,Madison St & Clinton St,40.71269042,-73.98776323,941,Subscriber,1975.0,1,Male,15,2013,9,37,12,2013,9,37,12,0,Weekdays,Normal hours,13.1,5,0am - 5am
834,18255,Thu,1,2013-09-26 01:12:26,499,Broadway & W 60 St,40.76915505,-73.98191841,2013-09-26 01:47:05,426,West St & Chambers St,40.71754834,-74.01322069,2079,Subscriber,1974.0,1,Male,34,2013,9,39,26,2013,9,39,26,1,Weekdays,Normal hours,13.1,5,0am - 5am
877,16862,Sat,0,2013-09-14 00:40:43,2010,Grand St & Greene St,40.72165481,-74.00234737,2013-09-14 01:23:24,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2561,Non-Subscriber,,0,Unknown,42,2013,9,37,14,2013,9,37,14,1,Weekend,Normal hours,13.1,7,0am - 5am
905,18550,Mon,0,2013-09-02 00:05:23,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2013-09-02 00:30:51,417,Barclay St & Church St,40.71291224,-74.01020234,1528,Non-Subscriber,,0,Unknown,25,2013,9,36,2,2013,9,36,2,0,Weekdays,Normal hours,13.1,2,0am - 5am
975,17619,Sat,2,2013-09-28 02:51:22,282,Kent Ave & S 11 St,40.70827295,-73.96834101,2013-09-28 02:58:56,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,454,Subscriber,1991.0,1,Male,7,2013,9,39,28,2013,9,39,28,2,Weekend,Normal hours,12.2,7,0am - 5am
999,19602,Fri,2,2013-09-13 02:01:26,328,Watts St & Greenwich St,40.72405549,-74.00965965,2013-09-13 02:15:07,512,W 29 St & 9 Ave,40.7500727,-73.99839279,821,Subscriber,1980.0,1,Male,13,2013,9,37,13,2013,9,37,13,2,Weekdays,Normal hours,12.2,6,0am - 5am
1008,20509,Sat,2,2013-09-28 02:08:18,253,W 13 St & 5 Ave,40.73543934,-73.99453948,2013-09-28 02:10:22,345,W 13 St & 6 Ave,40.73649403,-73.99704374,124,Subscriber,1986.0,2,Female,2,2013,9,39,28,2013,9,39,28,2,Weekend,Normal hours,12.2,7,0am - 5am
1042,19177,Thu,1,2013-09-26 01:30:23,428,E 3 St & 1 Ave,40.72467721,-73.98783413,2013-09-26 02:01:16,493,W 45 St & 6 Ave,40.7568001,-73.98291153,1853,Non-Subscriber,,0,Unknown,30,2013,9,39,26,2013,9,39,26,2,Weekdays,Normal hours,13.1,5,0am - 5am
1055,16142,Sat,0,2013-09-21 00:50:50,449,W 52 St & 9 Ave,40.76461837,-73.98789473,2013-09-21 00:58:03,448,W 37 St & 10 Ave,40.75660359,-73.9979009,433,Subscriber,1973.0,1,Male,7,2013,9,38,21,2013,9,38,21,0,Weekend,Normal hours,13.1,7,0am - 5am
1073,19483,Mon,1,2013-09-02 01:29:42,473,Rivington St & Chrystie St,40.72110063,-73.9919254,2013-09-02 01:39:09,127,Barrow St & Hudson St,40.73172428,-74.00674436,567,Subscriber,1992.0,2,Female,9,2013,9,36,2,2013,9,36,2,1,Weekdays,Normal hours,13.1,2,0am - 5am
1255,18206,Wed,2,2013-09-04 02:04:26,263,Elizabeth St & Hester St,40.71729,-73.996375,2013-09-04 02:05:41,263,Elizabeth St & Hester St,40.71729,-73.996375,75,Subscriber,1980.0,1,Male,1,2013,9,36,4,2013,9,36,4,2,Weekdays,Normal hours,12.2,4,0am - 5am
1266,15572,Sat,0,2013-09-28 00:56:36,319,Park Pl & Church St,40.71336124,-74.00937622,2013-09-28 01:08:54,328,Watts St & Greenwich St,40.72405549,-74.00965965,738,Non-Subscriber,,0,Unknown,12,2013,9,39,28,2013,9,39,28,1,Weekend,Normal hours,13.1,7,0am - 5am
1288,19755,Mon,0,2013-09-02 00:41:59,479,9 Ave & W 45 St,40.76019252,-73.9912551,2013-09-02 00:55:09,346,Bank St & Hudson St,40.73652889,-74.00618026,790,Subscriber,1959.0,1,Male,13,2013,9,36,2,2013,9,36,2,0,Weekdays,Normal hours,13.1,2,0am - 5am
1301,16000,Fri,5,2013-09-13 05:37:20,529,W 42 St & 8 Ave,40.7575699,-73.99098507,2013-09-13 05:46:53,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,573,Subscriber,1976.0,1,Male,9,2013,9,37,13,2013,9,37,13,5,Weekdays,Normal hours,10.2,6,0am - 5am
1340,16801,Sun,1,2013-09-15 01:51:59,251,Mott St & Prince St,40.72317958,-73.99480012,2013-09-15 01:59:37,296,Division St & Bowery,40.71413089,-73.9970468,458,Subscriber,1986.0,1,Male,7,2013,9,37,15,2013,9,37,15,1,Weekend,Normal hours,13.1,1,0am - 5am
1431,17723,Tue,2,2013-09-17 02:25:32,489,10 Ave & W 28 St,40.75066386,-74.00176802,2013-09-17 02:53:27,173,Broadway & W 49 St,40.76064679,-73.98442659,1675,Non-Subscriber,,0,Unknown,27,2013,9,38,17,2013,9,38,17,2,Weekdays,Normal hours,12.2,3,0am - 5am
